city,state,population_2024_estimate,population_year,scraped_date,data_source
Lubbock,TX,272086,2024,2025-12-22,Wikipedia – List of United States cities by population
St. Petersburg,FL,267102,2024,2025-12-22,Wikipedia – List of United States cities by population
Toledo,OH,265638,2024,2025-12-22,Wikipedia – List of United States cities by population
Laredo,TX,261260,2024,2025-12-22,Wikipedia – List of United States cities by population
Port St. Lucie,FL,258575,2024,2025-12-22,Wikipedia – List of United States cities by population
Glendale,AZ,258143,2024,2025-12-22,Wikipedia – List of United States cities by population
Irving,TX,258060,2024,2025-12-22,Wikipedia – List of United States cities by population
Winston-Salem,NC,255769,2024,2025-12-22,Wikipedia – List of United States cities by population
Chesapeake,VA,254997,2024,2025-12-22,Wikipedia – List of United States cities by population
Garland,TX,250431,2024,2025-12-22,Wikipedia – List of United States cities by population
Scottsdale,AZ,246170,2024,2025-12-22,Wikipedia – List of United States cities by population
Boise,ID,237963,2024,2025-12-22,Wikipedia – List of United States cities by population
Hialeah,FL,235388,2024,2025-12-22,Wikipedia – List of United States cities by population
Frisco,TX,235208,2024,2025-12-22,Wikipedia – List of United States cities by population
Richmond,VA,233655,2024,2025-12-22,Wikipedia – List of United States cities by population
Cape Coral,FL,233025,2024,2025-12-22,Wikipedia – List of United States cities by population
Norfolk,VA,231105,2024,2025-12-22,Wikipedia – List of United States cities by population
Spokane,WA,230609,2024,2025-12-22,Wikipedia – List of United States cities by population
Huntsville,AL,230402,2024,2025-12-22,Wikipedia – List of United States cities by population
Santa Clarita,CA,229159,2024,2025-12-22,Wikipedia – List of United States cities by population
Tacoma,WA,228202,2024,2025-12-22,Wikipedia – List of United States cities by population
Fremont,CA,228192,2024,2025-12-22,Wikipedia – List of United States cities by population
McKinney,TX,227526,2024,2025-12-22,Wikipedia – List of United States cities by population
San Bernardino,CA,224775,2024,2025-12-22,Wikipedia – List of United States cities by population
Baton Rouge,LA,220907,2024,2025-12-22,Wikipedia – List of United States cities by population
Modesto,CA,220592,2024,2025-12-22,Wikipedia – List of United States cities by population
Fontana,CA,218455,2024,2025-12-22,Wikipedia – List of United States cities by population
Salt Lake City,UT,217783,2024,2025-12-22,Wikipedia – List of United States cities by population
Moreno Valley,CA,213919,2024,2025-12-22,Wikipedia – List of United States cities by population
Des Moines,IA,213096,2024,2025-12-22,Wikipedia – List of United States cities by population
Worcester,MA,211286,2024,2025-12-22,Wikipedia – List of United States cities by population
Yonkers,NY,211040,2024,2025-12-22,Wikipedia – List of United States cities by population
Fayetteville,NC,209496,2024,2025-12-22,Wikipedia – List of United States cities by population
Sioux Falls,SD,209289,2024,2025-12-22,Wikipedia – List of United States cities by population
Grand Prairie,TX,207331,2024,2025-12-22,Wikipedia – List of United States cities by population
Rochester,NY,207282,2024,2025-12-22,Wikipedia – List of United States cities by population
Tallahassee,FL,205089,2024,2025-12-22,Wikipedia – List of United States cities by population
Little Rock,AR,204774,2024,2025-12-22,Wikipedia – List of United States cities by population
Amarillo,TX,203729,2024,2025-12-22,Wikipedia – List of United States cities by population
Overland Park,KS,202893,2024,2025-12-22,Wikipedia – List of United States cities by population
Columbus,GA,201830,2024,2025-12-22,Wikipedia – List of United States cities by population
Augusta,GA,201737,2024,2025-12-22,Wikipedia – List of United States cities by population
Mobile,AL,201367,2024,2025-12-22,Wikipedia – List of United States cities by population
Oxnard,CA,200616,2024,2025-12-22,Wikipedia – List of United States cities by population
