city,state,population_estimate
Corona,CA,161540
Salinas,CA,160783
Killeen,TX,160616
Paterson,NJ,160463
Alexandria[l],VA,159102
Hollywood,FL,159073
Hayward,CA,158440
Charleston,SC,157665
Macon[u],GA,157056
Lakewood,CO,156868
Sunnyvale,CA,156792
Kansas City[v],KS,156752
Springfield,MA,154888
Bellevue,WA,154377
Naperville,IL,153124
Joliet,IL,151837
Bridgeport,CT,151599
Mesquite,TX,150140
Pasadena,TX,149617
Olathe,KS,149035
Escondido,CA,148847
Savannah,GA,148808
McAllen,TX,148782
Gainesville,FL,148720
Pomona,CA,147966
Rockford,IL,147486
Thornton,CO,146689
Waco,TX,146608
Visalia,CA,146271
Syracuse,NY,146097
Columbia,SC,144788
Midland,TX,143687
Miramar,FL,143242
Palm Bay,FL,142023
Lakewood[w],NJ,141985
Jackson,MS,141449
Coral Springs,FL,140808
Victorville,CA,140721
Elizabeth,NJ,140413
Fullerton,CA,140054
Meridian,ID,139740
Torrance,CA,139576
Stamford,CT,139134
West Valley City,UT,138144
Orange,CA,137941
Cedar Rapids,IA,137904
Warren,MI,137686
Hampton[l],VA,137596
New Haven,CT,137562
Pasadena,CA,137195
Kent,WA,136588
Dayton,OH,136346
Fargo,ND,136285
Lewisville,TX,135983
Carrollton,TX,135456
Round Rock,TX,135359
Sterling Heights,MI,134342
Santa Clara,CA,133132
Norman,OK,131010
Columbia,MO,130900
Abilene,TX,130501
Pearland,TX,129620
Athens[x],GA,128691
College Station,TX,128023
Clovis,CA,127993
West Palm Beach,FL,127744
Allentown,PA,127138
North Charleston,SC,126005
Simi Valley,CA,125778
Topeka,KS,125467
Wilmington,NC,125284
Lakeland,FL,124990
Thousand Oaks,CA,124229
Concord,CA,124016
Rochester,MN,123624
Vallejo,CA,123475
Ann Arbor,MI,122925
Broken Arrow,OK,122756
Fairfield,CA,122646
Lafayette[y],LA,122280
Hartford,CT,122129
Arvada,CO,121873
Berkeley,CA,121749
Independence,MO,121629
Billings,MT,121483
Cambridge,MA,121186
Lowell,MA,120418
Odessa,TX,119748
High Point,NC,118601
League City,TX,118456
Antioch,CA,118453
Richardson,TX,118221
Goodyear,AZ,118186
Pompano Beach,FL,118104
Nampa,ID,117350
Menifee,CA,117041
Las Cruces,NM,116998
Clearwater,FL,116811
West Jordan,UT,116688
New Braunfels,TX,116477
Manchester,NH,116386
Miami Gardens,FL,116173
Waterbury,CT,115908
Provo,UT,115479
Evansville,IN,115395
Richmond,CA,115353
Westminster,CO,115302
Elgin,IL,114701
Conroe,TX,114581
Greeley,CO,114363
Lansing,MI,114336
Buckeye,AZ,114334
Tuscaloosa,AL,114288
Allen,TX,113746
Carlsbad,CA,113575
Everett,WA,113011
Springfield,IL,112949
Beaumont,TX,112893
Murrieta,CA,112539
Rio Rancho,NM,112524
Temecula,CA,112431
Concord,NC,112395
Tyler,TX,112219
Davie,FL,112052
South Fulton,GA,112003
Peoria,IL,111696
Sparks,NV,111520
Gresham,OR,111507
Santa Maria,CA,111346
Pueblo,CO,111166
Hillsboro,OR,110337
Edison[w],NJ,110002
Sugar Land,TX,109851
Ventura[z],CA,109831
Downey,CA,109368
Costa Mesa,CA,109131
Centennial,CO,108853
Edinburg,TX,108733
Spokane Valley,WA,108267
Jurupa Valley,CA,108154
Bend,OR,106926
West Covina,CA,106920
Boulder,CO,106803
Palm Coast,FL,106729
Lee's Summit,MO,106419
Dearborn,MI,106377
Green Bay,WI,106311
St. George,UT,106288
Woodbridge[w],NJ,106101
Brockton,MA,105788
Renton,WA,105543
Sandy Springs,GA,105505
Rialto,CA,104918
El Monte,CA,104639
Vacaville,CA,103994
Fishers,IN,103986
South Bend,IN,103713
Carmel,IN,103606
Yuma,AZ,103559
