city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source,city_size_category,home_value_per_capita,log_home_value,log_population,rank_cheapest_in_segment,rank_most_expensive_in_segment,below_segment_median_price
Montgomery,AL,195818,2024,2025-12-22,Wikipedia – List of United States cities by population,146126.81434866402,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.7462379063654211,5.164729916517005,5.291852610558906,9.0,294.0,True
Lansing,MI,114336,2024,2025-12-22,Wikipedia – List of United States cities by population,159352.2683099522,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.3937191113031084,5.20235824984605,5.058182994522346,10.0,293.0,True
Springfield,IL,112949,2024,2025-12-22,Wikipedia – List of United States cities by population,160106.10409173754,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.4175079380228026,5.204407889838246,5.052882390224028,11.0,292.0,True
Beaumont,TX,112893,2024,2025-12-22,Wikipedia – List of United States cities by population,166524.5154460375,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.4750650212682583,5.2214781786182325,5.05266701406295,12.0,291.0,True
Macon,GA,157056,2024,2025-12-22,Wikipedia – List of United States cities by population,166561.035525153,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.0605200407826063,5.221573412223268,5.196054532374872,13.0,290.0,True
Columbus,GA,201830,2024,2025-12-22,Wikipedia – List of United States cities by population,168271.72537087358,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.833729997378356,5.226011147782059,5.304985720206672,14.0,289.0,True
Wichita Falls,TX,102372,2024,2025-12-22,Wikipedia – List of United States cities by population,168945.03998989656,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.6503051614689228,5.227745445968041,5.010181188003777,15.0,288.0,True
Rockford,IL,147486,2024,2025-12-22,Wikipedia – List of United States cities by population,170161.72976306625,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.1537483541696585,5.230861891696837,5.168750797186635,16.0,287.0,True
Augusta,GA,201737,2024,2025-12-22,Wikipedia – List of United States cities by population,172036.1581759411,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.8527744448263883,5.235619735546673,5.304785558213585,17.0,286.0,True
Davenport,IA,100938,2024,2025-12-22,Wikipedia – List of United States cities by population,182858.1570487979,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.811588866916304,5.262114338380741,5.004054695309804,18.0,285.0,True
South Bend,IN,103713,2024,2025-12-22,Wikipedia – List of United States cities by population,183750.33739205424,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.771719431431491,5.264228145184112,5.015833196836574,19.0,284.0,True
Topeka,KS,125467,2024,2025-12-22,Wikipedia – List of United States cities by population,189084.1919012121,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.5070432217333012,5.276655221827327,5.098529513845081,20.0,283.0,True
Philadelphia,PA,1573916,2024,2025-12-22,Wikipedia – List of United States cities by population,228620.65303421216,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.1452559431597443,5.359115460939575,6.196981550316596,1.0,11.0,True
San Antonio,TX,1526656,2024,2025-12-22,Wikipedia – List of United States cities by population,245985.15922716787,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.1611267759254002,5.390908906045769,6.1837411889016805,2.0,10.0,True
Houston,TX,2390125,2024,2025-12-22,Wikipedia – List of United States cities by population,261052.2485702269,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.1092211698426763,5.416727438352848,6.378420614500712,3.0,9.0,True
Jacksonville,FL,1009833,2024,2025-12-22,Wikipedia – List of United States cities by population,280095.94084178127,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.2773685756375373,5.447306815061379,6.004249558757694,4.0,8.0,True
Fort Worth,TX,1008106,2024,2025-12-22,Wikipedia – List of United States cities by population,292665.5662663754,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.2903122948046886,5.466371628275257,6.003506199564614,5.0,7.0,True
Dallas,TX,1326087,2024,2025-12-22,Wikipedia – List of United States cities by population,302721.06455016346,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.2282814510286002,5.481042641966178,6.1225720175683565,6.0,6.0,False
Chicago,IL,2721308,2024,2025-12-22,Wikipedia – List of United States cities by population,305458.784488989,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.1122470460855548,5.484952619237995,6.434777698387788,7.0,5.0,False
Phoenix,AZ,1673164,2024,2025-12-22,Wikipedia – List of United States cities by population,403316.8568164257,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.2410504031980282,5.605646373927692,6.2235385116762565,8.0,4.0,False
New York,NY,8478072,2024,2025-12-22,Wikipedia – List of United States cities by population,793962.721186909,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.0936489712740006,5.899800111541839,6.928297100492395,9.0,3.0,False
Los Angeles,CA,3878704,2024,2025-12-22,Wikipedia – List of United States cities by population,921788.7574907336,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.2376538033040762,5.964631406989292,6.588686638050262,10.0,2.0,False
San Diego,CA,1404452,2024,2025-12-22,Wikipedia – List of United States cities by population,968817.0115238166,2025-11-30,Zillow ZHVI (City),Mega (>1M),0.6898185281688635,5.986241756008302,6.147506900895121,11.0,1.0,False
